filename,bytes,w,h,sha1,origin_url,final_url,local_link,webp_file
aldin-aldin-bu-hafta-brosuru_005.png,757762,1366,2048,18c8aa064e1ed74283934d24ce8b4bb28aa2e95a,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/VNfD1NBcAJ_2048x2048.png,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/VNfD1NBcAJ_2048x2048.png,https://www.oeappstudio.com/Brochures/Brochures/A101/aldin-aldin-bu-hafta-brosuru_005.webp,aldin-aldin-bu-hafta-brosuru_005.webp
aldin-aldin-bu-hafta-brosuru_006.png,793978,1127,1690,ee7d4142dfc113ee65ac7d38bf77282a2476450a,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/f17Hx5IPAo_2048x2048.png,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/f17Hx5IPAo_2048x2048.png,https://www.oeappstudio.com/Brochures/Brochures/A101/aldin-aldin-bu-hafta-brosuru_006.webp,aldin-aldin-bu-hafta-brosuru_006.webp
aldin-aldin-bu-hafta-brosuru_007.png,496530,1127,1690,fe72cf5a7d95eb6785193b265d3027d251a03683,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/Zb5RhCweXJ_2048x2048.png,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/Zb5RhCweXJ_2048x2048.png,https://www.oeappstudio.com/Brochures/Brochures/A101/aldin-aldin-bu-hafta-brosuru_007.webp,aldin-aldin-bu-hafta-brosuru_007.webp
aldin-aldin-bu-hafta-brosuru_008.png,706084,1127,1690,8ef6b6e05877603645be80ebfe262cd8583b64c2,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/Mr-8ZhxJwr_2048x2048.png,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/Mr-8ZhxJwr_2048x2048.png,https://www.oeappstudio.com/Brochures/Brochures/A101/aldin-aldin-bu-hafta-brosuru_008.webp,aldin-aldin-bu-hafta-brosuru_008.webp
aldin-aldin-bu-hafta-brosuru_009.png,1119272,1127,1690,a89dc85253c67732e0390d3870cc488894d5572a,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/fbxPTvw4Ik_2048x2048.png,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/fbxPTvw4Ik_2048x2048.png,https://www.oeappstudio.com/Brochures/Brochures/A101/aldin-aldin-bu-hafta-brosuru_009.webp,aldin-aldin-bu-hafta-brosuru_009.webp
aldin-aldin-bu-hafta-brosuru_010.png,945394,1127,1690,8c120c5ac878ca1d7f520e6db18a38c5536b81a6,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/6QS-wltRrz_2048x2048.png,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/6QS-wltRrz_2048x2048.png,https://www.oeappstudio.com/Brochures/Brochures/A101/aldin-aldin-bu-hafta-brosuru_010.webp,aldin-aldin-bu-hafta-brosuru_010.webp
aldin-aldin-bu-hafta-brosuru_011.png,665864,1127,1690,5f3478ce3422d141ea68a9de4994853946658ecb,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/OLiP2dYqae_2048x2048.png,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/OLiP2dYqae_2048x2048.png,https://www.oeappstudio.com/Brochures/Brochures/A101/aldin-aldin-bu-hafta-brosuru_011.webp,aldin-aldin-bu-hafta-brosuru_011.webp
aldin-aldin-bu-hafta-brosuru_012.png,762340,1127,1690,3ca6967d6f79378a6add6fea706205c15bcebcf6,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/4S2a6nqqGE_2048x2048.png,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/4S2a6nqqGE_2048x2048.png,https://www.oeappstudio.com/Brochures/Brochures/A101/aldin-aldin-bu-hafta-brosuru_012.webp,aldin-aldin-bu-hafta-brosuru_012.webp
aldin-aldin-bu-hafta-brosuru_013.png,491754,1127,1690,cd1b50a2629d45f256d40c782fb40134afd86547,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/0K7vnRKSph_2048x2048.png,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/0K7vnRKSph_2048x2048.png,https://www.oeappstudio.com/Brochures/Brochures/A101/aldin-aldin-bu-hafta-brosuru_013.webp,aldin-aldin-bu-hafta-brosuru_013.webp
aldin-aldin-bu-hafta-brosuru_014.png,433054,1127,1690,0838f6b1f17633c7ec6d30a6738537efed82c15c,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/1JpP5o9AGc_2048x2048.png,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/1JpP5o9AGc_2048x2048.png,https://www.oeappstudio.com/Brochures/Brochures/A101/aldin-aldin-bu-hafta-brosuru_014.webp,aldin-aldin-bu-hafta-brosuru_014.webp
aldin-aldin-bu-hafta-brosuru_015.png,662628,1127,1690,a8527af7e36299f43347f1a98e84da19e91dd4b0,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/N-w7ukoF5l_2048x2048.png,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/N-w7ukoF5l_2048x2048.png,https://www.oeappstudio.com/Brochures/Brochures/A101/aldin-aldin-bu-hafta-brosuru_015.webp,aldin-aldin-bu-hafta-brosuru_015.webp
aldin-aldin-bu-hafta-brosuru_016.png,755834,1127,1690,33188661efba920efbbe39e3f0c7fbfa630bb64e,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/4UY3x8484D_2048x2048.png,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/4UY3x8484D_2048x2048.png,https://www.oeappstudio.com/Brochures/Brochures/A101/aldin-aldin-bu-hafta-brosuru_016.webp,aldin-aldin-bu-hafta-brosuru_016.webp
aldin-aldin-bu-hafta-brosuru_017.png,555640,1127,1690,d4b217e05abbd229a64ca7367712c9eac6fad531,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/uUMtF0MD2j_2048x2048.png,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/uUMtF0MD2j_2048x2048.png,https://www.oeappstudio.com/Brochures/Brochures/A101/aldin-aldin-bu-hafta-brosuru_017.webp,aldin-aldin-bu-hafta-brosuru_017.webp
aldin-aldin-bu-hafta-brosuru_018.png,566464,1127,1690,1b995c00770d24ef3bd701e22a66a69d46b33f42,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/mZAvS2DDox_2048x2048.png,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/mZAvS2DDox_2048x2048.png,https://www.oeappstudio.com/Brochures/Brochures/A101/aldin-aldin-bu-hafta-brosuru_018.webp,aldin-aldin-bu-hafta-brosuru_018.webp
aldin-aldin-bu-hafta-brosuru_019.png,463090,1127,1690,87b7c38a896c20c9c8b45be51290274150e363c9,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/gbaX1IVVGK_2048x2048.png,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/gbaX1IVVGK_2048x2048.png,https://www.oeappstudio.com/Brochures/Brochures/A101/aldin-aldin-bu-hafta-brosuru_019.webp,aldin-aldin-bu-hafta-brosuru_019.webp
aldin-aldin-bu-hafta-brosuru_020.png,769028,1127,1690,e2b273f0741ae2392c985f39ae551ec8a803a589,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/KVov5V-lnK_2048x2048.png,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/KVov5V-lnK_2048x2048.png,https://www.oeappstudio.com/Brochures/Brochures/A101/aldin-aldin-bu-hafta-brosuru_020.webp,aldin-aldin-bu-hafta-brosuru_020.webp
aldin-aldin-bu-hafta-brosuru_021.png,335516,1127,1690,a9399cba31cc929fc3fc51f33e518d6b06017c0f,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/7ogP14kKZW_2048x2048.png,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/7ogP14kKZW_2048x2048.png,https://www.oeappstudio.com/Brochures/Brochures/A101/aldin-aldin-bu-hafta-brosuru_021.webp,aldin-aldin-bu-hafta-brosuru_021.webp
